muni,muniLabel,district,districtLabel,properties,object,population
http://www.wikidata.org/entity/Q67951,Dielsdorf,http://www.wikidata.org/entity/Q660407,Dielsdorf district,64,74,5940
http://www.wikidata.org/entity/Q68451,Buch am Irchel,http://www.wikidata.org/entity/Q660721,Andelfingen District,64,83,970
http://www.wikidata.org/entity/Q65129,Hedingen,http://www.wikidata.org/entity/Q656635,Affoltern District,64,77,3678
http://www.wikidata.org/entity/Q65877,Embrach,http://www.wikidata.org/entity/Q680996,Bülach District,63,86,9419
http://www.wikidata.org/entity/Q66660,Geroldswil,http://www.wikidata.org/entity/Q180792,Dietikon District,63,93,4918
http://www.wikidata.org/entity/Q67302,Waltalingen,http://www.wikidata.org/entity/Q660721,Andelfingen District,63,77,654
http://www.wikidata.org/entity/Q67898,Nürensdorf,http://www.wikidata.org/entity/Q680996,Bülach District,63,96,5591
http://www.wikidata.org/entity/Q69963,Oberengstringen,http://www.wikidata.org/entity/Q180792,Dietikon District,63,90,6569
http://www.wikidata.org/entity/Q70369,Fehraltorf,http://www.wikidata.org/entity/Q660395,Pfäffikon District,63,78,6378
http://www.wikidata.org/entity/Q65510,Bonstetten,http://www.wikidata.org/entity/Q656635,Affoltern District,63,75,5491
http://www.wikidata.org/entity/Q65795,Dinhard,http://www.wikidata.org/entity/Q644300,Winterthur District,62,80,1551
http://www.wikidata.org/entity/Q65854,Fischenthal,http://www.wikidata.org/entity/Q660382,Hinwil District,62,99,2504
http://www.wikidata.org/entity/Q66156,Otelfingen,http://www.wikidata.org/entity/Q660407,Dielsdorf district,62,86,2831
http://www.wikidata.org/entity/Q66598,Rifferswil,http://www.wikidata.org/entity/Q656635,Affoltern District,62,79,1096
http://www.wikidata.org/entity/Q67042,Niederhasli,http://www.wikidata.org/entity/Q660407,Dielsdorf district,62,85,9188
http://www.wikidata.org/entity/Q67211,Zell,http://www.wikidata.org/entity/Q644300,Winterthur District,62,75,5929
http://www.wikidata.org/entity/Q67539,Buchs,http://www.wikidata.org/entity/Q660407,Dielsdorf district,62,97,6303
http://www.wikidata.org/entity/Q67902,Oberstammheim,http://www.wikidata.org/entity/Q660721,Andelfingen District,62,74,1196
http://www.wikidata.org/entity/Q67937,Unterstammheim,http://www.wikidata.org/entity/Q660721,Andelfingen District,62,78,891
http://www.wikidata.org/entity/Q68393,Ossingen,http://www.wikidata.org/entity/Q660721,Andelfingen District,62,77,1566
http://www.wikidata.org/entity/Q65164,Dietlikon,http://www.wikidata.org/entity/Q680996,Bülach District,62,79,7685
http://www.wikidata.org/entity/Q65512,Oberembrach,http://www.wikidata.org/entity/Q680996,Bülach District,62,91,1057
http://www.wikidata.org/entity/Q64945,Aeugst am Albis,http://www.wikidata.org/entity/Q656635,Affoltern District,62,89,1934
http://www.wikidata.org/entity/Q64967,Hettlingen,http://www.wikidata.org/entity/Q644300,Winterthur District,62,81,3174
http://www.wikidata.org/entity/Q67887,Steinmaur,http://www.wikidata.org/entity/Q660407,Dielsdorf district,61,88,3460
http://www.wikidata.org/entity/Q68423,Andelfingen,http://www.wikidata.org/entity/Q660721,Andelfingen District,61,75,2201
http://www.wikidata.org/entity/Q66757,Flurlingen,http://www.wikidata.org/entity/Q660721,Andelfingen District,60,71,1437
http://www.wikidata.org/entity/Q68399,Glattfelden,http://www.wikidata.org/entity/Q680996,Bülach District,60,75,5189
